"learning_language_string","created","admin","avatar","rupees","deactivated","facebook_id","site_streak","learning_language","daily_goal","num_followers","fullname","id","twitter_id","num_following","gplus_id","username","_id"
"German","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/31558607/RuztGmA3ia",149,false,"663518378",0,"de",10,4,"Douglas Pinn",31558607,"null",4,"null","douglaspin11",10
"French","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/29706375/GJeB5sXQr5",56,false,"637526061",0,"fr","null",7,"Ana Paula Domingues",29706375,"null",6,"null","anapdom",11
"English","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",121,false,"100001977190252",0,"en",30,7,"Adilson Carvalho",17297597,"null",34,"null","adilsoncs84",12
"German","1 year ago",false,"//duolingo-images.s3.amazonaws.com/avatars/57811009/hupfGCPk1L",720,false,"100002430424625",338,"de",20,8,"Lucas Vieira de Oliveira",57811009,"null",78,"null","LucasVieir848760",13
"German","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/4042593/e51qUdQ6kf",201,false,"100001142990111",0,"de",30,11,"Luiz Vieira",4042593,"null",69,"103543856954785929057","jun.luiz",14
"English","1 year ago",false,"//duolingo-images.s3.amazonaws.com/avatars/123860136/SG8q2mADx-",108,false,"969797556421206",0,"en",20,6,"Ana Sardinha",123860136,"null",74,"null","AnaSardinhaa",15
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/26560174/CypvWAEe4E",4093,false,"100000954614917",840,"en",20,13,"Fabio Candido",26560174,"null",17,"null","Fabio_Candido",16
"Portuguese","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",680,false,"null",1,"pt",30,13,"null",25439580,"null",7,"null","ricardo_akamine",17
"English","2 months ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",15,false,"1062638740493741",0,"en",20,4,"gisele carvalho",202317302,"null",13,"null","giselecarv576588",18
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/29687251/4s3Zv1b6U7",258,false,"100000738777385",0,"en",20,10,"Caio Da Silva Miranda",29687251,"null",10,"null","caiouzinn",19
"English","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",14,false,"null",0,"en",20,2,"null",28933955,"null",5,"null","Davicord",20
"English","2 months ago",false,"//duolingo-images.s3.amazonaws.com/avatars/207328661/G8KbmXzQEQ",44,false,"953369198126052",0,"en",10,6,"Telma Magalhães",207328661,"null",22,"null","TelmaMagalhaes1",21
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/7536404/MuNUdOb1uu",0,false,"1814930997",0,"en","null",4,"Afonso Gabriel",7536404,"null",0,"null","invalid.af",22
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/22810677/4P3yECLb7u",22,false,"100000276058424",0,"en","null",5,"Alexandra Souza",22810677,"null",0,"null","alexandra.827956",23
"French","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",19,false,"100002006025915",1,"fr",30,1,"Alexandre Béria Mantovan",55986711,"null",0,"null","Alexandre.Beria",24
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/34735630/TFmk7k7VqM",35,false,"608550532",0,"en",20,5,"Alê Comin",34735630,"null",0,"null","Ale_comin",25
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/16789722/xb_7Y533ph",2,false,"100001910826137",0,"en","null",7,"André Henrique Szeremeta",16789722,"null",1,"null","andrehenri9",26
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/26207368/GRhVuOhDUs",19,false,"100002143268245",0,"en",50,3,"Caio Lira",26207368,"null",3,"null","caiolira23",27
"German","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",0,false,"1474639261",0,"de","null",2,"camilla",42892130,"null",0,"null","camillabeatriz3",28
"Italian","3 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",15,false,"719314566",0,"it","null",5,"null",12357790,"null",0,"null","Piracicaba13",29
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",1,false,"666053566829100",0,"en",50,7,"Carol",107468162,"null",24,"null","Carol124095",30
"English","3 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",6,false,"1575406500",0,"en","null",13,"null",8612236,"null",28,"null","dani8290",31
"English","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",43,false,"100002321405386",0,"en",20,2,"Denis Junior",40887592,"null",0,"null","DenisJunio",32
"English","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",122,false,"100000118425740",0,"en",30,3,"diego",25099458,"null",12,"null","diego.nobre",33
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/2761227/_Zhy1AVErO",38,false,"1528273966",0,"en",20,4,"null",2761227,"null",0,"null","Douglasts",34
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",24,false,"100004004413767",0,"en","null",1,"Douglas Vinicius",53542323,"null",0,"null","DouglasVin11",35
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",2,false,"100000762127410",0,"en",20,3,"Eliel Jardim",85782211,"null",0,"null","ElielJardi",36
"English","3 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",35,false,"100000405687870",0,"en",20,2,"null",1412287,"null",0,"null","evandrospfc",37
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/11746217/v8Jyu5cf2f",10,false,"100002059869688",0,"en",20,5,"null",11746217,"null",2,"null","flahfortino",38
"German","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/6104961/BoRZkajXcx",0,false,"1118344336",0,"de",20,27,"Fuchs Erick",6104961,"null",49,"null","erick.fuch",39
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",23,false,"100007701667413",0,"en",50,2,"Gabriel Scabbia",81334339,"null",0,"null","Vikinglaett",40
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/26894009/tHaaMNgyML",24,false,"100000186177706",0,"en","null",5,"George Alves",26894009,"null",0,"null","AlvesGeorge",41
"Spanish","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",6,false,"1789605762",0,"es","null",7,"Gabriel Soares",38251871,"null",1,"null","GabrielSoa371878",42
"Spanish","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",7,false,"100000156027125",0,"es",30,7,"Geovana Gabriela",61414219,"null",0,"null","geovana.ga4",43
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/15633657/OnTqUcrOUU",91,false,"1783185398",0,"en","null",10,"Gisele Couto",15633657,"null",0,"null","GiseleCouto",44
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/26363347/9Tzp6LziYh",16,false,"100004632900105",0,"en","null",6,"Hector Zapata",26363347,"null",0,"null","Hector_Zapata",45
"Spanish","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/37398401/vLMhpGR0ff",1,false,"1618816614",0,"es","null",1,"Irailda Fernandes",37398401,"null",0,"null","IraildaFernandes",46
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/26665330/gTaL2P_A7T",70,false,"100000143356702",0,"en","null",1,"Jefferson Menezes",26665330,"null",0,"null","JeffersonMenezes",47
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",20,false,"100002526451754",0,"en",50,3,"Jefferson Souza da Silva",85934116,"null",0,"null","JeffersonS640255",48
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/3737325/QOhqXH7aDC",33,false,"1808270660",0,"en","null",9,"null",3737325,"null",1,"null","Jerusa.martins",49
"German","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/954134/jKJXh3pQ6j",31,false,"100000574421667",0,"de",30,18,"null",954134,"null",1,"118109409203234251929","ebicu",50
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/3374676/SqsitknaEH",0,false,"1596549493",0,"en","null",13,"Josh Walter",3374676,"null",0,"null","JoshWalter",51
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/23543971/nArpCNm60U",9,false,"100000078959197",0,"en",50,2,"Kah Tuntuntum",23543971,"null",0,"null","kahbarreto",52
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/26811099/QZn4KOxhEu",56,false,"1675980758",0,"en","null",10,"Kaleb Lauber",26811099,"null",5,"null","kaleb.laub",53
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/7710394/EgiepWOtnb",10,false,"100000299015706",0,"en","null",4,"Leandro Dutra Santos",7710394,"null",0,"null","leandro.sa19",54
"Spanish","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",6,false,"1778033442",0,"es","null",1,"Love Junior",40883963,"null",0,"null","LoveJunior1",55
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/5701211/ItcYDFSIal",0,false,"100001839518925",0,"en","null",6,"Luana P. Pereira",5701211,"null",0,"null","Luuh.pp",56
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/26829562/aivAJlwgqM",0,false,"1160802666",0,"en","null",10,"Luis Alberto",26829562,"null",0,"null","luisalbertodg",57
"French","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/2768155/GxLp8rW78L",74,false,"100000502323472",0,"fr",30,14,"null",2768155,"null",9,"null","lgmoneda",58
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/16979275/-zuN5k5trW",11,false,"100000020286678",0,"en","null",3,"Léo Hessel",16979275,"null",0,"null","LEOHESSEL",59
"Spanish","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/33601735/Tkp5KHAOr4",30,false,"100002094657732",0,"es","null",4,"Felipe Cerqueira",33601735,"null",0,"null","Luizfc90",60
"English","11 months ago",false,"//duolingo-images.s3.amazonaws.com/avatars/140690288/Iwlc-FI8xc",16,false,"100000658997615",0,"en",50,9,"Luís Ângelo Rodrigues Júnior",140690288,"null",4,"null","LuisAngeloRJr",61
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/31959071/wvnjEK_hIk",1,false,"100000005070362",0,"en","null",9,"Mariana Portela",31959071,"null",0,"null","mariana.po15",62
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/16896074/x889CMb4fa",108,false,"100004086487110",0,"en",50,4,"Mauricio Dias",16896074,"null",1,"null","MauricioDi17",63
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/25488639/CQyPhkf0xh",20,false,"100000223215371",0,"en",30,14,"Marina Faria",25488639,"null",0,"null","marinafari2",64
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/20624986/IjBYYx2_X9",6,false,"100002106620532",0,"en","null",6,"Mário Xavier",20624986,"null",0,"null","MarioSBXavier",65
"Spanish","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",49,false,"100000604194495",0,"es",50,2,"Michel",86843748,"null",0,"106323515215352650933","Michel680202",66
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",26,false,"100001241604582",0,"en",50,4,"Nicole Santos",78282635,"null",0,"null","NicoleSant663604",67
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/33416479/IZI5_btc6O",127,false,"1782162103",0,"en",30,7,"Rafael De Vita",33416479,"null",0,"null","RafaelDeVita",68
"English","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",0,false,"1589193832",0,"en","null",4,"Raphael Portela",44429645,"null",0,"null","RaphaelPor5",69
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/22967662/GpMyI3woVt",17,false,"100001627035913",0,"en",50,14,"Raquel Mogadouro",22967662,"null",2,"null","raquel.mog",70
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/33028660/1GSFBjxkIF",0,false,"100000083531221",0,"en",20,1,"Ricardo Barredo de Lima",33028660,"null",0,"106718391529832603367","ricardo.ba435420",71
"English","3 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",33,false,"100000909035917",0,"en",20,14,"null",4127369,"null",6,"null","pizao88",72
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",44,false,"100002184400034",0,"en",20,2,"Rielson Borges",87288464,"null",0,"null","RielsonBor",73
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/41089187/qFoHHbdn41",24,false,"1542403758",0,"en",20,2,"Robson Pessoa",41089187,"null",0,"103361178381477475009","RobsonPess2",74
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/6703996/5jA4ovVYtw",1,false,"100002254383570",0,"en",50,5,"",6703996,"null",5,"null","Rodriigom",75
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/8312993/OywTRGBn1o",22,false,"100001300098582",0,"en","null",6,"Rodrigo Marchesi",8312993,"null",1,"null","rodrigo.ma48",76
"English","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",9,false,"1001079748",0,"en",20,6,"null",17501904,"null",2,"null","llello105",77
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/25503546/4uu69obEFt",31,false,"512597590",0,"en",50,2,"Rubens Campos Filho",25503546,"null",0,"null","rcamposfil",78
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/6104299/B6TMAm6Xvr",10,false,"100000307619128",0,"en","null",10,"Sergio Polimante",6104299,"null",0,"null","sergio.pol",79
"Spanish","1 year ago",false,"//duolingo-images.s3.amazonaws.com/avatars/69214239/Gy3BSJzuyi",58,false,"100008005898706",0,"es",30,1,"Thalita Fernandes",69214239,"null",0,"104957290586329892868","ThalitaFer695202",80
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/2251131/QNBjhDdrWr",0,false,"100000202354468",0,"en","null",8,"null",2251131,"null",0,"null","Thiago1235",81
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/28502658/TP-LXiT6TJ",0,false,"100007969393147",0,"en","null",2,"Tielle Rangel",28502658,"null",0,"null","tielle.ran",82
"French","3 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",6,false,"672677580",0,"fr","null",32,"null",895326,"null",0,"null","tassiarc",83
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/31568016/MeZAvT6xO2",4,false,"100000253948630",0,"en","null",1,"Victor Rafael",31568016,"null",0,"null","VictorRafa17",84
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/6966329/4BEhznlaKN",10,false,"100001953907738",0,"en","null",11,"null",6966329,"null",2,"null","viiikondo",85
"English","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/5044820/m8XX5-bhrG",40,false,"100003359255370",0,"en",50,6,"null",5044820,"null",0,"null","wesley_macedo01",86
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/23624123/f37H_InKPw",58,false,"100002518234228",0,"en",20,13,"Wedson Torres",23624123,"null",16,"102569300680484121478","wedsonTorres",87
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/25356897/ksEoDHWPMQ",5,false,"100000911461731",0,"en","null",2,"Will Junior",25356897,"null",11,"null","JuniorWill",88
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/42876507/YKZQwtsx0T",13,false,"100002555388644",0,"en",30,4,"null",42876507,"null",0,"null","William_3.6",89
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/15790367/KkZQTbn62v",22,false,"1210627687",0,"en",20,7,"William Scarpino",15790367,"null",0,"null","jimmybjj",90
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/27832017/ORAzhSKsod",93,false,"null",0,"en",30,7,"Darlan",27832017,"null",4,"null","Darlan7",91
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/31154456/DQb9nRcAGC",18,false,"null",0,"en",50,4,"Custodio Bezerra",31154456,"null",4,"110332720240173956112","CustodioBe",92
"English","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",10,false,"null",0,"en","null",1,"Regina Ap. Colli Domingues",30098640,"null",1,"null","reginacolli",93
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/29881149/blBZzuXYOe",119,false,"100000278318516",0,"en",30,8,"Isabel Garcia",29881149,"null",13,"null","isagarciaa",94
"French","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",131,false,"null",0,"fr","null",4,"null",21354290,"null",6,"null","chucrutehans",95
"German","2 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",190,false,"525484550",0,"de","null",10,"Gisele",29462631,"null",12,"null","girussano",96
"English","1 year ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",33,false,"100000851291681",0,"en",20,1,"null",67092694,"null",10,"null","w.anapereira",97
"English","1 year ago",false,"//duolingo-images.s3.amazonaws.com/avatars/79361924/ioOItVUH5g",50,false,"1285503550",0,"en",50,3,"Infogera",79361924,"null",22,"null","Infogera",98
"English","3 years ago",false,"//s3.amazonaws.com/duolingo-images/avatar/default_2",34,false,"null",0,"en","null",1,"null",4112145,"null",0,"null","amandadomingues",99
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/20592578/5cZTVKbCbO",111,false,"100001674193472",0,"en",30,4,"Letícia Carvalho",20592578,"null",22,"111676972683763199825","leticiacarvalhos",100
"English","2 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/39143451/kQ-jj5144e",49,false,"100000042603280",0,"en",20,12,"null",39143451,"null",39,"null","bmsrox",101
"Spanish","3 years ago",false,"//duolingo-images.s3.amazonaws.com/avatars/1483745/nRYKnnv_FZ",52,false,"100002873153890",0,"es","null",5,"null",1483745,"null",14,"null","omarayoub",102
